regiao,estado,municipio,coduf,data,semanaEpi,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Sudeste,SP,Ibirarema,35,2021-06-27,26,637,0,23,1
Sudeste,SP,Ibitinga,35,2021-06-27,26,9114,6,250,1
Sudeste,SP,Ibiúna,35,2021-06-27,26,4325,19,120,0
Sudeste,SP,Icém,35,2021-06-27,26,1087,0,25,1
Sudeste,SP,Iepê,35,2021-06-27,26,839,0,23,0
Sudeste,SP,Igaraçu do Tietê,35,2021-06-27,26,1976,7,46,0
Sudeste,SP,Igarapava,35,2021-06-27,26,1295,1,82,0
Sudeste,SP,Igaratá,35,2021-06-27,26,1908,0,30,0
Sudeste,SP,Iguape,35,2021-06-27,26,2402,0,97,0
Sudeste,SP,Ilhabela,35,2021-06-27,26,6691,0,40,0
Sudeste,SP,Ilha Comprida,35,2021-06-27,26,1166,0,40,0
Sudeste,SP,Ilha Solteira,35,2021-06-27,26,2383,2,84,0
Sudeste,SP,Indaiatuba,35,2021-06-27,26,22944,43,468,0
Sudeste,SP,Indiana,35,2021-06-27,26,224,0,9,0
Sudeste,SP,Indiaporã,35,2021-06-27,26,308,1,8,0
Sudeste,SP,Inúbia Paulista,35,2021-06-27,26,459,0,13,0
Sudeste,SP,Ipaussu,35,2021-06-27,26,1965,2,41,0
Sudeste,SP,Iperó,35,2021-06-27,26,2636,4,42,0
Sudeste,SP,Ipeúna,35,2021-06-27,26,622,0,10,0
Sudeste,SP,Ipiguá,35,2021-06-27,26,948,1,25,0
Sudeste,SP,Iporanga,35,2021-06-27,26,415,3,4,0
Sudeste,SP,Ipuã,35,2021-06-27,26,1655,0,55,0
Sudeste,SP,Iracemápolis,35,2021-06-27,26,4174,-1,88,0
Sudeste,SP,Irapuã,35,2021-06-27,26,845,-1,26,0
Sudeste,SP,Irapuru,35,2021-06-27,26,662,5,29,0
Sudeste,SP,Itaberá,35,2021-06-27,26,2230,1,59,0
Sudeste,SP,Itaí,35,2021-06-27,26,2608,0,58,0
Sudeste,SP,Itajobi,35,2021-06-27,26,2058,4,45,0
Sudeste,SP,Itaju,35,2021-06-27,26,516,0,8,0
Sudeste,SP,Itanhaém,35,2021-06-27,26,5523,43,260,0
Sudeste,SP,Itaoca,35,2021-06-27,26,235,0,8,0
Sudeste,SP,Itapecerica da Serra,35,2021-06-27,26,7428,27,416,0
Sudeste,SP,Itapetininga,35,2021-06-27,26,15565,40,340,0
Sudeste,SP,Itapevi,35,2021-06-27,26,11048,38,597,0
Sudeste,SP,Itapira,35,2021-06-27,26,7238,2,240,0
Sudeste,SP,Itapirapuã Paulista,35,2021-06-27,26,525,0,2,0
Sudeste,SP,Itápolis,35,2021-06-27,26,5267,8,146,0
Sudeste,SP,Itapuí,35,2021-06-27,26,1276,0,32,0
Sudeste,SP,Itapura,35,2021-06-27,26,256,1,11,0
Sudeste,SP,Itaquaquecetuba,35,2021-06-27,26,16861,26,844,0
Sudeste,SP,Itararé,35,2021-06-27,26,5578,0,210,0
Sudeste,SP,Itariri,35,2021-06-27,26,1227,2,37,0
Sudeste,SP,Itatiba,35,2021-06-27,26,10037,27,138,0
Sudeste,SP,Itatinga,35,2021-06-27,26,2463,4,41,0
Sudeste,SP,Itirapina,35,2021-06-27,26,1348,2,32,0
Sudeste,SP,Itirapuã,35,2021-06-27,26,270,0,5,0
Sudeste,SP,Itobi,35,2021-06-27,26,546,0,8,0
Sudeste,SP,Itu,35,2021-06-27,26,17875,136,332,0
Sudeste,SP,Itupeva,35,2021-06-27,26,5651,6,119,0
Sudeste,SP,Ituverava,35,2021-06-27,26,1748,0,115,0
Sudeste,SP,Jaboticabal,35,2021-06-27,26,6525,15,113,0
Sudeste,SP,Jacareí,35,2021-06-27,26,21997,29,628,0
Sudeste,SP,Jaci,35,2021-06-27,26,878,1,22,0
Sudeste,SP,Jacupiranga,35,2021-06-27,26,1511,0,46,0
Sudeste,SP,Jaguariúna,35,2021-06-27,26,4902,11,101,0
Sudeste,SP,Jales,35,2021-06-27,26,5779,14,196,0
Sudeste,SP,Jambeiro,35,2021-06-27,26,359,0,10,0
Sudeste,SP,Jandira,35,2021-06-27,26,6899,355,269,0
Sul,SC,Jardinópolis,42,2021-06-27,26,362,0,4,0
Sudeste,SP,Jarinu,35,2021-06-27,26,2408,13,60,0
Sudeste,SP,Jaú,35,2021-06-27,26,8442,16,478,0
Sudeste,SP,Jeriquara,35,2021-06-27,26,270,0,2,0
Sudeste,SP,Joanópolis,35,2021-06-27,26,998,0,4,0
Sudeste,SP,João Ramalho,35,2021-06-27,26,579,0,12,0
